Baseline
TRACE, LENGTH (KB), USED (KB), REQUESTS, HITS, MISSES
bisort.pool, 6456, 20, 245062, 244422, 640
bisort, 6424, 32, 245062, 244038, 1024
llu.pool, 35639, 50.2188, 1372785, 1371178, 1607
llu, 37762, 64, 1372785, 1370451, 2334
sort.pool, 7583, 6.40625, 255491, 255286, 205
sort, 7582, 7.84375, 255491, 255240, 251
Base-Delta
TRACE, LENGTH (KB), USED (KB), REQUESTS, HITS, MISSES
bisort.pool, 6456, 17.625, 245062, 244422, 640
bisort, 6424, 27.9531, 245062, 244038, 1024
llu.pool, 35639, 17.7031, 1372785, 1371178, 1607
llu, 37762, 63.0156, 1372785, 1369992, 2793
sort.pool, 7583, 3.46875, 255491, 255286, 205
sort, 7582, 7.46875, 255491, 255240, 251
